关注公众号,#genre#
CCTV1,http://1.183.141.194:8000/hls/1/index.m3u8
CCTV2,http://1.183.141.194:8000/hls/2/index.m3u8
CCTV3,http://1.183.141.194:8000/hls/3/index.m3u8
CCTV4,http://1.183.141.194:8000/hls/4/index.m3u8
CCTV5,http://1.183.141.194:8000/hls/5/index.m3u8
CCTV6,http://1.183.141.194:8000/hls/6/index.m3u8
CCTV7,http://1.183.141.194:8000/hls/7/index.m3u8
CCTV8,http://1.183.141.194:8000/hls/8/index.m3u8
CCTV9,http://1.183.141.194:8000/hls/9/index.m3u8
CCTV10,http://1.183.141.194:8000/hls/10/index.m3u8
CCTV11,http://1.183.141.194:8000/hls/11/index.m3u8
CCTV12,http://1.183.141.194:8000/hls/12/index.m3u8
CCTV13,http://1.183.141.194:8000/hls/13/index.m3u8
CCTV14,http://1.183.141.194:8000/hls/14/index.m3u8
CCTV15,http://1.183.141.194:8000/hls/15/index.m3u8

蚂蚁的烦恼,#genre#

CCTV1,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000210103.m3u8

CCTV2,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000203603.m3u8

CCTV3,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000203803.m3u8

CCTV4,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000204803.m3u8

CCTV5,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000205103.m3u8

CCTV5+,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000204503.m3u8

CCTV6,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000203303.m3u8

CCTV7,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000510003.m3u8

CCTV8,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000203903.m3u8

CCTV9,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000499403.m3u8

CCTV10,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000203503.m3u8

CCTV11,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000204103.m3u8

CCTV12,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000202603.m3u8

CCTV13,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000204603.m3u8

CCTV14,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000204403.m3u8

CCTV15,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2000205003.m3u8


CCTV16,http://58.205.220.58:8088/tlivectfree-cdn.ysp.cctv.cn/ysp/2012375003.m3u8

